,title,company,salary,summary,city,state
0,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!",San Francisco,CA
1,Tutor in San Francisco – All Subjects Available,Grade Potential Tutoring,$18 - $30 an hour,San Francisco families are in immediate need of part-time tutors for all subjects and grade levels.,San Francisco,CA
2,Records Clerk- Fleet Maintenance,West Valley Construction,$20 - $24 an hour,"Valid CA driver’s license and good driving record.The overall purpose of the position is to maintain accurate records on fleet maintenance, Track licensing,…",San Francisco,CA
3,,Farm Fresh to You,$20 - $40 an hour,"Employee discount of 40% off all organic fruits, vegetables & artisan farm products.Working knowledge of our food system, sustainability and environmental…",San Francisco,CA
4,Self Driving Vehicle Operator,Transdev,$23.00 - $26.50 an hour,"Meets driver requirements, including driving record and criminal history under applicable regulations and laws in the state(s) in which the self-driving vehicle…",San Francisco,CA
5,"Curatorial Assistant, Contemporary Art",SFMOMA,$26.06 an hour,"Reporting to the Curator of Contemporary Art, the Curatorial Assistant supports the research, development and interpretation of the permanent collection,…",San Francisco,CA
6,Cashier,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance.",San Francisco,CA
7,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…",San Francisco,CA
8,Temporary Accounts Receivable and Student Accounts Cashier,San Francisco Art Institute,From $30 an hour,"4 year college degree required, Bachelor’s degree from an accredited university in finance, accounting, or a related field, and.",San Francisco,CA
9,"Installation Technician - $5,000 Sign-On Bonus",AT&T,$30.40 an hour ++,"Possess a state driver’s license.Possess a state driver’s license.(All Milestones must be met while you are in good standing, No COBC violations and or…",San Francisco,CA
10,Team Member,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance.",San Francisco,CA
11,Housekeeping Aide - Grade 100,Kaiser Permanente,,"Utilizing standard cleaning products, cleans auxiliary areas to include medication room, nursing station, tub room, soiled utility rooms, storage areas, staff…",San Francisco,CA
12,Production Assistant - Casting & Development,Lucasfilm,,Reads and shares feedback on incoming writer/director submissions when appropriate.Interfaces with agents and manager offices to schedule general meetings.,San Francisco,CA
13,Summer 2021 Museum Internships (Paid),Fine Arts Museums of San Francisco,,"Weekly schedule: 6 hours per week of flexible independent work done remotely, with 4 hours of fixed virtual weekly meetings on Tuesdays and Thursdays, 10am-12pm…",San Francisco,CA
14,Assistant/Associate Conservator of Photography,SFMOMA,,"Responsibilities comprise on-going care of the collection, including examination, conservation treatment, consultation and general collections care as well as…",San Francisco,CA
15,Self Driving Vehicle Operator,Transdev,$23.00 - $26.50 an hour,"Meets driver requirements, including driving record and criminal history under applicable regulations and laws in the state(s) in which the self-driving vehicle…",San Francisco,CA
16,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!",San Francisco,CA
17,Summer 2021 Museum Internships (Paid),Fine Arts Museums of San Francisco,,"Weekly schedule: 6 hours per week of flexible independent work done remotely, with 4 hours of fixed virtual weekly meetings on Tuesdays and Thursdays, 10am-12pm…",San Francisco,CA
18,,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance.",San Francisco,CA
19,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…",San Francisco,CA
20,Looking to Work in Sustainability?,Farm Fresh to You,$20 - $40 an hour,"Employee discount of 40% off all organic fruits, vegetables & artisan farm products.Working knowledge of our food system, sustainability and environmental…",San Francisco,CA
21,Kennel Assistant,Animal Internal Medicine & Specialty Services,$16 - $19 an hour,This is an excellent entry position for someone with an interest in veterinary medicine.High stress tolerance -- thrives in a high-pressure environment.,San Francisco,CA
22,Temporary Accounts Receivable and Student Accounts Cashier,San Francisco Art Institute,From $30 an hour,"4 year college degree required, Bachelor’s degree from an accredited university in finance, accounting, or a related field, and.",San Francisco,CA
23,Assistant/Associate Conservator of Photography,SFMOMA,,"Responsibilities comprise on-going care of the collection, including examination, conservation treatment, consultation and general collections care as well as…",San Francisco,CA
